,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
4,Arlington Asset Investment,AAIC,YES,,,,0.29,,,69.54,43.28,31.055,0.0,5.426,-0.429,212.39999,REIT and Equity Trust,Finance,73.74,2.6,3.65,,-0.009912199630314233
7,Applied Optoelectronics,AAOI,YES,-0.14,-0.09,3.0,-0.48,243.83999,59.29999,5.32,222.82,-60.077,189.19099,-66.39701,-3.91101,183.164,Electronics - Semiconductors,Computer and Technology,62.22,2.14,3.76,0.09014796085661146,-0.017552329234359575
12,Almaden Minerals,AAU,YES,,,,,,,,,-1.87801,0.0,-9.11201,-4.4968,6.07,Mining - Gold,Basic Materials,21.09,0.1537,0.36,,
20,Ambev,ABEV,YES,0.03,0.04,1.0,0.16,16128.25976,3602.07006,14.33,15438.08,4286.15478,7829.76123,2800.49511,4091.2561,7325.09521,Beverages - Alcohol,Consumer Staples,44536.15,2.83,3.24,0.04373581337741739,0.265010681380068
28,Absolute Software,ABST,YES,0.12,0.11,1.0,0.34,232.1,60.4,63.36,197.31,15.861,12.62699,-24.48501,-24.48501,86.222,Security,Computer and Technology,419.06,7.94,12.42,0.16239221729902195,-0.12409411585829405
33,Aurora Cannabis,ACB,YES,-0.05,-0.05,4.0,-0.35,156.02499,48.65,-8.65,174.88,-1302.32801,158.11,-1357.09498,-313.784,588.71997,Medical - Products,Medical,215.19,0.6175,3.19,-0.11408383770041669,-1.794281793229643
35,Acco Brands,ACCO,YES,0.3,0.31,2.0,1.09,1895.36303,482.63,-3.84,1947.6,60.5,1395.30004,-13.2,183.1,882.29998,Office Supplies,Industrial Products,459.4,4.84,7.86,-0.02718745258033183,0.09401314438283015
37,Accel Entertainment,ACEL,YES,0.19,0.19,3.0,0.76,1072.55004,270.22,32.0,969.8,116.399,670.901,74.10199,128.764,299.212,Gaming,Consumer Discretionary,786.93,9.08,12.46,0.1007044423851577,0.13277376778717262
38,Acer Therapeutics,ACER,YES,-0.29,-0.23,2.0,-0.64,10.345,0.6,,1.26,-26.237,0.0,-26.237,-24.92301,3.51699,Medical - Drugs,Medical,22.23,0.9493,4.15,2.10539159023412,-19.780166666666666
43,Archer Aviation,ACHR,YES,-0.35,-0.35,1.0,-1.41,,,,,-319.60001,0.0,-317.29999,-209.60001,545.5,Aerospace - Defense,Aerospace,479.88,1.94,4.84,,
